,Unnamed: 0,Tweet,Usuario,Fecha,RTs,Favs,Polaridad,Subjetividad,Sentimiento,Negativo,Neutral,Positivo,Compuesto
0,0,biden advierte que es altamente probable una tercera guerra mundial. el papa francisco dice que ya ha comenzado. medved…,Luna27508964,2022-06-21 01:36:40,164,0,0.0,0.0,Positivo,0.0,0.882,0.118,0.34
1,1,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",JuanAlbertoJP,2022-06-21 01:36:29,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
2,2,@luisaro91632083 ves que eres un bruto?. animal. bolsonaro le dio su apoyo a putin hace unos meses y los democratas… ,GLADYSC97635771,2022-06-21 01:36:24,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
3,3,  como la caida de la union sovietica empujo a putin a intentar recuperar la importancia global de rusia ,LaRedRevela,2022-06-21 01:36:18,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
4,4,@elpaiscr “mira como me pongo” le dijo putin,kikearte2,2022-06-21 01:35:56,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
5,5,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",GASAMO92,2022-06-21 01:35:56,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
6,6,"@pontifex_es cerra el orto hipócrita!!!!!   sos amigo de putin , maduro , los castro , ortega , xi jinping …..  sos… ",PatriotaRoca,2022-06-21 01:35:52,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
7,7,vencen los rusos! suecia y finlandia no estarán en la otan. importante aliado de putin los vetó ,AMLO3Proyectos,2022-06-21 01:35:48,2,0,0.0,0.0,Negativo,0.142,0.858,0.0,-0.3595
8,8,"2. the wall street journal @wsj tiene su portada un retrato de putin, y debajo una nota de @wsjforero  y @davidluhnow sobre l…",Caubral,2022-06-21 01:35:46,76,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
9,9,rusia la flota rusa del mar negro se ha alineado a lo largo de la costa occidental de crimea para un ataque masivo contr…,wilman825,2022-06-21 01:35:40,45,0,0.0,0.0,Positivo,0.0,0.902,0.098,0.34
10,10,un dia como hoy del mes de marzo de 2022 el cirujano filipino nelson castro sostuvo q el meme de putin montando un… ,LuxAeternaak47,2022-06-21 01:35:38,0,1,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
11,11,"putin: ""a empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" ",lima_lavanda,2022-06-21 01:35:38,163,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
12,12,el presidente putin sera recordado por la historia como el hombre que cambio o hizo el nuevo orden mundial y destrono a lo…,andresnen0,2022-06-21 01:35:31,19,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
13,13,"lituania ha sancionado el paso por su territorio de mercancias rusas desde y hacia kaliningrado.la respuesta de putin, iri…",jjvaldezbplus,2022-06-21 01:35:31,7,0,0.0,0.0,Positivo,0.0,0.876,0.124,0.34
14,14,"putin veia como  zelenski utilizaba sus tropas para bombardear su propia poblacion, occidente les vendia armamento, el cual…",PrometeoNews,2022-06-21 01:35:12,54,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
15,15,"putin felicito al nuevo presidente de  colombia g. petro...  """"nuestros pueblos trabajarán para llevar prosperidad a la po…",RubenMarzialet1,2022-06-21 01:35:12,110,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
16,16,@lalocadelhacha @hambiasecas @serrano_fraile @serigne_mbaye_ asi de claro. sera tan dificil para los pro putin pode… ,ElbaMacias14,2022-06-21 01:35:08,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
17,17,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,litocesar,2022-06-21 01:35:02,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
18,18,¿the independent es ahora un medio ruso? ¿quienes arman a ucrania? ¿quienes dijeron que habia que destruir a rusia? yo c…,Vicente02468721,2022-06-21 01:35:01,6,0,0.0,0.125,Neutral,0.0,1.0,0.0,0.0
19,19,y lo que falta para que putin envie sus rockets a destruir este pais,arbet70,2022-06-21 01:34:51,1,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
20,20,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",catecuci1,2022-06-21 01:34:45,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
21,21,rusia la flota rusa del mar negro se ha alineado a lo largo de la costa occidental de crimea para un ataque masivo contr…,ejpc144,2022-06-21 01:34:42,45,0,0.0,0.0,Positivo,0.0,0.902,0.098,0.34
22,22,si bien la amenaza de putin de recurrir a un arma nuclear tactica sobre el terreno en ucrania puede bien ser una fanf…,AVelqz,2022-06-21 01:34:41,70,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
23,23,"a listen traje de luces para el 7 de agosto, invitados de honor a la posesion del mesias vendran los tiranos de ame… ",ClaudiaLuci1018,2022-06-21 01:34:41,0,1,0.0,0.0,Positivo,0.0,0.856,0.144,0.4939
24,24,putin san petesburgo: viendo y escuchando cada dia me convenzo mas q nada justificaba la aplicacion en venezuela d maner…,izquierdaunidav,2022-06-21 01:34:14,272,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
25,25,@coffeeandpaul @binealarm @sankuperis (please translate) rusia no es una democracia y putin tiene un aparato de pro… ,gerardochaconf,2022-06-21 01:33:47,0,0,0.0,0.0,Negativo,0.128,0.872,0.0,-0.296
26,26,"putin llega a america , y en bandeja de plata la prostituta centro america , esta a la venta al mejor postor , se l… ",mikediaz1224,2022-06-21 01:33:23,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
27,27,biden advierte que es altamente probable una tercera guerra mundial. el papa francisco dice que ya ha comenzado. medved…,HoracioRubio97,2022-06-21 01:32:54,164,0,0.0,0.0,Positivo,0.0,0.882,0.118,0.34
28,28,"@rocioca02293787 si. he visto las imagenes grabadas por varias personas y al parecer era eso, pero, aparte de impre… ",Waytankung,2022-06-21 01:32:51,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
29,29," putin advierte fin del mundo, gates mas crisis, colombia socialista, ¿assange extraditado?  ",mikyfirst,2022-06-21 01:32:51,18,0,0.0,0.0,Negativo,0.272,0.728,0.0,-0.6249
30,30,"@lupitajuarezh ¿porque habiendo rusos como dmitry muratov, no hay mas que tengan el valor para enfrentarse a putin… ",PartidoParlame1,2022-06-21 01:32:43,0,0,0.0,0.0,Negativo,0.121,0.879,0.0,-0.296
31,31,"@leonkrauze @americanair culpa de putin o  de lopez? aqui no dices nada de biden y compañia, al parecer el chayote… ",Juan84387565,2022-06-21 01:32:41,0,0,0.0,0.0,Negativo,0.115,0.885,0.0,-0.296
32,32,¿putin ha traido mas prosperidad a rusia? no.¿ha perjudicado alguna vez al imperialismo norteamericano? no¿esta realm…,HoracioRubio97,2022-06-21 01:32:36,59,0,0.0,0.0,Positivo,0.0,0.835,0.165,0.4137
