,Tweet,Usuario,Fecha,RTs,Favs
0,RT @nicolasmorasok: Biden advierte que es altamente probable una tercera guerra mundial. El Papa Francisco dice que ya ha comenzado. Medved…,Luna27508964,2022-06-21 01:36:40,164,0
1,"RT @estuardinho10: cátedra de mi presidente VLADIMIR PUTIN de cómo tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",JuanAlbertoJP,2022-06-21 01:36:29,8,0
2,@LuisaRo91632083 Ves que eres un bruto?. Animal. Bolsonaro le dio su apoyo a Putin hace unos meses y los democratas… https://t.co/nBtyBN9n1R,GLADYSC97635771,2022-06-21 01:36:24,0,0
3,☄️  Cómo la caída de la Unión Soviética empujó a Putin a intentar recuperar la importancia global de Rusia https://t.co/A4eBmS65aX,LaRedRevela,2022-06-21 01:36:18,0,0
4,@elpaiscr “Mirá como me pongo” le dijo Putin,kikearte2,2022-06-21 01:35:56,0,0
5,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",GASAMO92,2022-06-21 01:35:56,1492,0
6,"@Pontifex_es CERRA EL ORTO HIPÓCRITA!!!!!   SOS AMIGO DE PUTIN , MADURO , LOS CASTRO , ORTEGA , XI JINPING …..  SOS… https://t.co/Qhc3K8bztI",PatriotaRoca,2022-06-21 01:35:52,0,0
7,RT @kikkaroja: VENCEN LOS RUSOS! SUECIA Y FINLANDIA NO ESTARÁN EN LA OTAN. IMPORTANTE ALIADO DE PUTIN LOS VETÓ https://t.co/s9QKSnGBe1,AMLO3Proyectos,2022-06-21 01:35:48,2,0
8,"RT @moreauax: 2. The Wall Street Journal @WSJ tiene su portada un retrato de Putin, y debajo una nota de @WSJForero  y @davidluhnow sobre l…",Caubral,2022-06-21 01:35:46,76,0
9,RT @TronAleks: #Rusia🇷🇺 La flota rusa del Mar Negro se ha alineado a lo largo de la costa occidental de #Crimea para un ataque masivo contr…,wilman825,2022-06-21 01:35:40,45,0
10,Un dia como hoy del mes de marzo de 2022 el cirujano filipino Nelson Castro sostuvo q el meme de Putin montando un… https://t.co/M5mOHMxhgR,LuxAeternaak47,2022-06-21 01:35:38,0,1
11,"RT @ActualidadRT: Putin: ""A empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" https://t.co/v2fm3i37eH",lima_lavanda,2022-06-21 01:35:38,163,0
